"name","archive_url","stars"
"sergray/EnglishWordsGame","https://api.github.com/repos/sergray/EnglishWordsGame/{archive_format}{/ref}","1"
"soft-rudi/rrauer.github.io","https://api.github.com/repos/soft-rudi/rrauer.github.io/{archive_format}{/ref}","1"
"GrahamMcFergash/GrahamMcFergash.github.io","https://api.github.com/repos/GrahamMcFergash/GrahamMcFergash.github.io/{archive_format}{/ref}","1"
"knokodil/knokodil.github.io","https://api.github.com/repos/knokodil/knokodil.github.io/{archive_format}{/ref}","1"
"xamfy/django_card","https://api.github.com/repos/xamfy/django_card/{archive_format}{/ref}","1"
"mrmister69/mrmister69.github.io","https://api.github.com/repos/mrmister69/mrmister69.github.io/{archive_format}{/ref}","1"
"derbou-git/derbou-git.github.io","https://api.github.com/repos/derbou-git/derbou-git.github.io/{archive_format}{/ref}","1"
"kchoi85/cityncom-1-containerized","https://api.github.com/repos/kchoi85/cityncom-1-containerized/{archive_format}{/ref}","1"
"devedmonton/devedmonton.com-backend","https://api.github.com/repos/devedmonton/devedmonton.com-backend/{archive_format}{/ref}","1"
"flavoi/diventi","https://api.github.com/repos/flavoi/diventi/{archive_format}{/ref}","1"
"jysim3/courseNotification","https://api.github.com/repos/jysim3/courseNotification/{archive_format}{/ref}","1"
"Riverscapes/sqlBRAT","https://api.github.com/repos/Riverscapes/sqlBRAT/{archive_format}{/ref}","1"
"awe-system/conf_rpc","https://api.github.com/repos/awe-system/conf_rpc/{archive_format}{/ref}","1"
"snafees/ortho_seqs","https://api.github.com/repos/snafees/ortho_seqs/{archive_format}{/ref}","1"
"KaizIqbal/clickgen","https://api.github.com/repos/KaizIqbal/clickgen/{archive_format}{/ref}","1"
"level12/jsonrpcbase","https://api.github.com/repos/level12/jsonrpcbase/{archive_format}{/ref}","1"
"scotth527/bookswap_backend","https://api.github.com/repos/scotth527/bookswap_backend/{archive_format}{/ref}","1"
"Diorgeles/my_finance","https://api.github.com/repos/Diorgeles/my_finance/{archive_format}{/ref}","1"
"sapuri/hako","https://api.github.com/repos/sapuri/hako/{archive_format}{/ref}","1"
"AlMoosa/django_for_beginners","https://api.github.com/repos/AlMoosa/django_for_beginners/{archive_format}{/ref}","1"
