"name","archive_url","stars"
"esaleeby/profiles-rest-api","https://api.github.com/repos/esaleeby/profiles-rest-api/{archive_format}{/ref}","0"
"orlhatundji/react-django-todo-app","https://api.github.com/repos/orlhatundji/react-django-todo-app/{archive_format}{/ref}","0"
"souparnabose99/profiles-rest-api","https://api.github.com/repos/souparnabose99/profiles-rest-api/{archive_format}{/ref}","0"
"Paulcappaert/django_starter","https://api.github.com/repos/Paulcappaert/django_starter/{archive_format}{/ref}","0"
"Asko-Dev/Artinii_Django_Webapp","https://api.github.com/repos/Asko-Dev/Artinii_Django_Webapp/{archive_format}{/ref}","0"
"Daglar/2020-dishes","https://api.github.com/repos/Daglar/2020-dishes/{archive_format}{/ref}","0"
"nickKearns/make-wiki","https://api.github.com/repos/nickKearns/make-wiki/{archive_format}{/ref}","0"
"JericHunter/makewiki","https://api.github.com/repos/JericHunter/makewiki/{archive_format}{/ref}","0"
"codemobtz/mishe","https://api.github.com/repos/codemobtz/mishe/{archive_format}{/ref}","0"
"robecilla/buckethours","https://api.github.com/repos/robecilla/buckethours/{archive_format}{/ref}","0"
"zhanghg7/Front-End","https://api.github.com/repos/zhanghg7/Front-End/{archive_format}{/ref}","0"
"deyniloy7/POCs","https://api.github.com/repos/deyniloy7/POCs/{archive_format}{/ref}","0"
"yeseul4072/vue_pjt2","https://api.github.com/repos/yeseul4072/vue_pjt2/{archive_format}{/ref}","0"
"what-digital/aldryn-locations","https://api.github.com/repos/what-digital/aldryn-locations/{archive_format}{/ref}","0"
"tedmdelacruz/wagtail-kit","https://api.github.com/repos/tedmdelacruz/wagtail-kit/{archive_format}{/ref}","0"
"samirtendulkar/Bollywood_Stars","https://api.github.com/repos/samirtendulkar/Bollywood_Stars/{archive_format}{/ref}","0"
"Munanga/WesternSelfieSite","https://api.github.com/repos/Munanga/WesternSelfieSite/{archive_format}{/ref}","0"
"mingmeng030/heroku","https://api.github.com/repos/mingmeng030/heroku/{archive_format}{/ref}","0"
"carpyncho/yeolde_carpyncho","https://api.github.com/repos/carpyncho/yeolde_carpyncho/{archive_format}{/ref}","0"
"reivhax/Not-Instagram","https://api.github.com/repos/reivhax/Not-Instagram/{archive_format}{/ref}","0"
"crowdbotics-apps/aizy-music-app-4395","https://api.github.com/repos/crowdbotics-apps/aizy-music-app-4395/{archive_format}{/ref}","0"
"krithikvaidya/analytics-system","https://api.github.com/repos/krithikvaidya/analytics-system/{archive_format}{/ref}","0"
"SalmanSaleem1/instagram","https://api.github.com/repos/SalmanSaleem1/instagram/{archive_format}{/ref}","0"
"reivhax/imageshare","https://api.github.com/repos/reivhax/imageshare/{archive_format}{/ref}","0"
"limelance/catfarmapi","https://api.github.com/repos/limelance/catfarmapi/{archive_format}{/ref}","0"
"alinemoreira1/projeto-heroku","https://api.github.com/repos/alinemoreira1/projeto-heroku/{archive_format}{/ref}","0"
"vitorh45/personal-blog","https://api.github.com/repos/vitorh45/personal-blog/{archive_format}{/ref}","0"
"rid47/ecommerce","https://api.github.com/repos/rid47/ecommerce/{archive_format}{/ref}","0"
"Priyanshusaxena2/github_users","https://api.github.com/repos/Priyanshusaxena2/github_users/{archive_format}{/ref}","0"
"mzaluska/igaming","https://api.github.com/repos/mzaluska/igaming/{archive_format}{/ref}","0"
"peterxie/Crank","https://api.github.com/repos/peterxie/Crank/{archive_format}{/ref}","0"
"uapa-team/subjects_info","https://api.github.com/repos/uapa-team/subjects_info/{archive_format}{/ref}","0"
"romitkarmakar/digitalfortress_backend","https://api.github.com/repos/romitkarmakar/digitalfortress_backend/{archive_format}{/ref}","0"
"ar600/django_poke","https://api.github.com/repos/ar600/django_poke/{archive_format}{/ref}","0"
"HyeeunMok/ez-polling","https://api.github.com/repos/HyeeunMok/ez-polling/{archive_format}{/ref}","0"
"findix-slackapp/slackapp-hello-world3","https://api.github.com/repos/findix-slackapp/slackapp-hello-world3/{archive_format}{/ref}","0"
"MeritEhab/BankingApp","https://api.github.com/repos/MeritEhab/BankingApp/{archive_format}{/ref}","0"
"camilacno/django_project_local","https://api.github.com/repos/camilacno/django_project_local/{archive_format}{/ref}","0"
"filipeximenes/drftests","https://api.github.com/repos/filipeximenes/drftests/{archive_format}{/ref}","0"
"PeterGrayCreative/django-api","https://api.github.com/repos/PeterGrayCreative/django-api/{archive_format}{/ref}","0"
"Vaibhav-Mittal/hello","https://api.github.com/repos/Vaibhav-Mittal/hello/{archive_format}{/ref}","0"
"BenLiyanage/GitStats","https://api.github.com/repos/BenLiyanage/GitStats/{archive_format}{/ref}","0"
"dyadgar/geodjango_test","https://api.github.com/repos/dyadgar/geodjango_test/{archive_format}{/ref}","0"
"thomasrosales/consultingRoom","https://api.github.com/repos/thomasrosales/consultingRoom/{archive_format}{/ref}","0"
"caobin0926/python_15","https://api.github.com/repos/caobin0926/python_15/{archive_format}{/ref}","0"
"bangalorebyte-cohort30-1912/Project-Finanacial-Management-","https://api.github.com/repos/bangalorebyte-cohort30-1912/Project-Finanacial-Management-/{archive_format}{/ref}","0"
"bot242/rey","https://api.github.com/repos/bot242/rey/{archive_format}{/ref}","0"
"aduuna/django-ussd","https://api.github.com/repos/aduuna/django-ussd/{archive_format}{/ref}","0"
"toddmckenzie/django-build","https://api.github.com/repos/toddmckenzie/django-build/{archive_format}{/ref}","0"
"mahmoudkamal0001/profiles-rest-api","https://api.github.com/repos/mahmoudkamal0001/profiles-rest-api/{archive_format}{/ref}","0"
"tricknac/aitcblog","https://api.github.com/repos/tricknac/aitcblog/{archive_format}{/ref}","0"
"souradeepta/PythonPractice","https://api.github.com/repos/souradeepta/PythonPractice/{archive_format}{/ref}","0"
"jonathantumulak/psa-workshop","https://api.github.com/repos/jonathantumulak/psa-workshop/{archive_format}{/ref}","0"
"DylanLacey/howkarmado","https://api.github.com/repos/DylanLacey/howkarmado/{archive_format}{/ref}","0"
"LuisMalave2001/AISJ-13","https://api.github.com/repos/LuisMalave2001/AISJ-13/{archive_format}{/ref}","0"
"ap-101/Salary_predictions","https://api.github.com/repos/ap-101/Salary_predictions/{archive_format}{/ref}","0"
"domdfcoding/py2latex","https://api.github.com/repos/domdfcoding/py2latex/{archive_format}{/ref}","0"
"bruce1408/pytorch_learning","https://api.github.com/repos/bruce1408/pytorch_learning/{archive_format}{/ref}","0"
"abhiandthetruth/Noteifier","https://api.github.com/repos/abhiandthetruth/Noteifier/{archive_format}{/ref}","0"
"seanyen/wstool","https://api.github.com/repos/seanyen/wstool/{archive_format}{/ref}","0"
"RobertWestbrook/Flask-TODO-app","https://api.github.com/repos/RobertWestbrook/Flask-TODO-app/{archive_format}{/ref}","0"
"tsuruo5388/bulletin-board-bot","https://api.github.com/repos/tsuruo5388/bulletin-board-bot/{archive_format}{/ref}","0"
"Hudson-HudyTech/daraja_mpesa_api","https://api.github.com/repos/Hudson-HudyTech/daraja_mpesa_api/{archive_format}{/ref}","0"
"maidul98/genetic-wheat-data-upload","https://api.github.com/repos/maidul98/genetic-wheat-data-upload/{archive_format}{/ref}","0"
"Soyluarda/falconCase","https://api.github.com/repos/Soyluarda/falconCase/{archive_format}{/ref}","0"
"huangjianixiong/django_learning","https://api.github.com/repos/huangjianixiong/django_learning/{archive_format}{/ref}","0"
"samuelpbowman/volhacks_sample_app","https://api.github.com/repos/samuelpbowman/volhacks_sample_app/{archive_format}{/ref}","0"
"israelwerther/IsraelEstoque","https://api.github.com/repos/israelwerther/IsraelEstoque/{archive_format}{/ref}","0"
"infant23/test_app","https://api.github.com/repos/infant23/test_app/{archive_format}{/ref}","0"
"hyunjunmn/Airbnb_CC","https://api.github.com/repos/hyunjunmn/Airbnb_CC/{archive_format}{/ref}","0"
"diamond-shine/elearning","https://api.github.com/repos/diamond-shine/elearning/{archive_format}{/ref}","0"
"RobSimons1/e-commerce","https://api.github.com/repos/RobSimons1/e-commerce/{archive_format}{/ref}","0"
"iAmKabiru/retailcalibrations","https://api.github.com/repos/iAmKabiru/retailcalibrations/{archive_format}{/ref}","0"
"HsuChihYao/lineRobot","https://api.github.com/repos/HsuChihYao/lineRobot/{archive_format}{/ref}","0"
"wilsonmacleod/django-react-template-wmacleod","https://api.github.com/repos/wilsonmacleod/django-react-template-wmacleod/{archive_format}{/ref}","0"
"GordonOtieno/darajaAPI","https://api.github.com/repos/GordonOtieno/darajaAPI/{archive_format}{/ref}","0"
"istefano82/brew_auth_service","https://api.github.com/repos/istefano82/brew_auth_service/{archive_format}{/ref}","0"
"saikumar457L/deploy_to_heroku","https://api.github.com/repos/saikumar457L/deploy_to_heroku/{archive_format}{/ref}","0"
"Bryan4real/neighbourhood-watch-backend","https://api.github.com/repos/Bryan4real/neighbourhood-watch-backend/{archive_format}{/ref}","0"
"the-vladman/tasks-api","https://api.github.com/repos/the-vladman/tasks-api/{archive_format}{/ref}","0"
"mikbuch/django_css","https://api.github.com/repos/mikbuch/django_css/{archive_format}{/ref}","0"
"allenchng123/testApps","https://api.github.com/repos/allenchng123/testApps/{archive_format}{/ref}","0"
"Belie06Loryn/HelpDesk","https://api.github.com/repos/Belie06Loryn/HelpDesk/{archive_format}{/ref}","0"
"mcgowlc/8-3-1-python-chat-app","https://api.github.com/repos/mcgowlc/8-3-1-python-chat-app/{archive_format}{/ref}","0"
"tuank60/demosessionheroku","https://api.github.com/repos/tuank60/demosessionheroku/{archive_format}{/ref}","0"
"CodecoolGlobal/django-project-team-4","https://api.github.com/repos/CodecoolGlobal/django-project-team-4/{archive_format}{/ref}","0"
"Rohan-cod/sch_webscr","https://api.github.com/repos/Rohan-cod/sch_webscr/{archive_format}{/ref}","0"
"2401566A/mystays_project","https://api.github.com/repos/2401566A/mystays_project/{archive_format}{/ref}","0"
"jamesryan-fil/profiles-rest-api","https://api.github.com/repos/jamesryan-fil/profiles-rest-api/{archive_format}{/ref}","0"
"DariaKalinichenko/yatube","https://api.github.com/repos/DariaKalinichenko/yatube/{archive_format}{/ref}","0"
"jolo-dev/aws-s3-python","https://api.github.com/repos/jolo-dev/aws-s3-python/{archive_format}{/ref}","0"
"VladislavBannikov/dj2.landing","https://api.github.com/repos/VladislavBannikov/dj2.landing/{archive_format}{/ref}","0"
"Collins33/Payment-Daraja","https://api.github.com/repos/Collins33/Payment-Daraja/{archive_format}{/ref}","0"
"ericssy/ride-sharing","https://api.github.com/repos/ericssy/ride-sharing/{archive_format}{/ref}","0"
"UW-Madison-DataScience/python-novice-gapminder-custom","https://api.github.com/repos/UW-Madison-DataScience/python-novice-gapminder-custom/{archive_format}{/ref}","0"
"cristianosantana/iris-scraping","https://api.github.com/repos/cristianosantana/iris-scraping/{archive_format}{/ref}","0"
"lordchuffnel/django_timetracker","https://api.github.com/repos/lordchuffnel/django_timetracker/{archive_format}{/ref}","0"
"StyleASD/angular_bazel_starter","https://api.github.com/repos/StyleASD/angular_bazel_starter/{archive_format}{/ref}","0"
"M3zon/Test1","https://api.github.com/repos/M3zon/Test1/{archive_format}{/ref}","0"
"talhaHavadar/CourseRegistration","https://api.github.com/repos/talhaHavadar/CourseRegistration/{archive_format}{/ref}","0"
"MasakiTanaka-9627/educationPJ","https://api.github.com/repos/MasakiTanaka-9627/educationPJ/{archive_format}{/ref}","0"
"sungyeonkwon/spinning","https://api.github.com/repos/sungyeonkwon/spinning/{archive_format}{/ref}","0"
"cenotapHe/Plateforme_Projet8","https://api.github.com/repos/cenotapHe/Plateforme_Projet8/{archive_format}{/ref}","0"
"PraneethKarnena/django-url-shortener","https://api.github.com/repos/PraneethKarnena/django-url-shortener/{archive_format}{/ref}","0"
"lokidess/Asgard","https://api.github.com/repos/lokidess/Asgard/{archive_format}{/ref}","0"
"wojdzi1607/testing_example","https://api.github.com/repos/wojdzi1607/testing_example/{archive_format}{/ref}","0"
"alamin-mahamud/everything","https://api.github.com/repos/alamin-mahamud/everything/{archive_format}{/ref}","0"
"KirinAnks/ariados","https://api.github.com/repos/KirinAnks/ariados/{archive_format}{/ref}","0"
"shenoy-anurag/courses-web-api","https://api.github.com/repos/shenoy-anurag/courses-web-api/{archive_format}{/ref}","0"
"shrey920/LoadBalancer","https://api.github.com/repos/shrey920/LoadBalancer/{archive_format}{/ref}","0"
"agam-99/DjangoApi","https://api.github.com/repos/agam-99/DjangoApi/{archive_format}{/ref}","0"
"nicktruel/ecommerce-1","https://api.github.com/repos/nicktruel/ecommerce-1/{archive_format}{/ref}","0"
"ryanrossiter/planttv","https://api.github.com/repos/ryanrossiter/planttv/{archive_format}{/ref}","0"
"nayan2000/Read-Receipts","https://api.github.com/repos/nayan2000/Read-Receipts/{archive_format}{/ref}","0"
"sixthshift/devocabulary","https://api.github.com/repos/sixthshift/devocabulary/{archive_format}{/ref}","0"
"seongpil0948/onlineshop","https://api.github.com/repos/seongpil0948/onlineshop/{archive_format}{/ref}","0"
"qkrwjdan/Dstagram","https://api.github.com/repos/qkrwjdan/Dstagram/{archive_format}{/ref}","0"
"mgopalsa/Trello-API","https://api.github.com/repos/mgopalsa/Trello-API/{archive_format}{/ref}","0"
"yourgirlcodes/Billboard-","https://api.github.com/repos/yourgirlcodes/Billboard-/{archive_format}{/ref}","0"
"ZuuZaa/munis_django_lessons","https://api.github.com/repos/ZuuZaa/munis_django_lessons/{archive_format}{/ref}","0"
"c4road/ca_challenge","https://api.github.com/repos/c4road/ca_challenge/{archive_format}{/ref}","0"
"rokambol/World-of-Fintess","https://api.github.com/repos/rokambol/World-of-Fintess/{archive_format}{/ref}","0"
"SRICKKY/Django_Blog","https://api.github.com/repos/SRICKKY/Django_Blog/{archive_format}{/ref}","0"
"SimiHack/djangoTime","https://api.github.com/repos/SimiHack/djangoTime/{archive_format}{/ref}","0"
"silanka007/django_practice","https://api.github.com/repos/silanka007/django_practice/{archive_format}{/ref}","0"
"jaspindersingh83/djorg-Django-GraphQL","https://api.github.com/repos/jaspindersingh83/djorg-Django-GraphQL/{archive_format}{/ref}","0"
"taeho0819/likelionProject","https://api.github.com/repos/taeho0819/likelionProject/{archive_format}{/ref}","0"
"bringbackthedog/dscPortal","https://api.github.com/repos/bringbackthedog/dscPortal/{archive_format}{/ref}","0"
"prastamaha/tasklist","https://api.github.com/repos/prastamaha/tasklist/{archive_format}{/ref}","0"
"Gjunghoon/gugutiger","https://api.github.com/repos/Gjunghoon/gugutiger/{archive_format}{/ref}","0"
"slimcheng3/django_wxapp","https://api.github.com/repos/slimcheng3/django_wxapp/{archive_format}{/ref}","0"
"illi-homz/skillfactory-D7-Gomza","https://api.github.com/repos/illi-homz/skillfactory-D7-Gomza/{archive_format}{/ref}","0"
"sahianmol1/profiles-rest-api","https://api.github.com/repos/sahianmol1/profiles-rest-api/{archive_format}{/ref}","0"
"lemur-cms/lemur-cms","https://api.github.com/repos/lemur-cms/lemur-cms/{archive_format}{/ref}","0"
"parkjihwanjay/60Decibel","https://api.github.com/repos/parkjihwanjay/60Decibel/{archive_format}{/ref}","0"
"cayceelee/acnh","https://api.github.com/repos/cayceelee/acnh/{archive_format}{/ref}","0"
"crowdbotics-apps/inspo-5093","https://api.github.com/repos/crowdbotics-apps/inspo-5093/{archive_format}{/ref}","0"
"abckristinaa/django-finance","https://api.github.com/repos/abckristinaa/django-finance/{archive_format}{/ref}","0"
